Predicted_Labels  True_Labels
7  7
3  3
17  17
13  13
14  1
13  11
11  11
12  12
3  3
5  5
12  12
17  17
8  8
9  9
0  0
14  14
13  13
1  1
13  13
8  8
14  14
8  8
5  5
15  15
15  15
15  15
9  2
7  7
13  13
0  0
8  8
13  11
2  16
0  0
6  6
10  10
10  10
3  3
4  4
16  16
9  5
6  6
13  13
6  6
5  5
10  10
12  12
12  12
16  16
12  12
8  8
13  13
17  17
12  12
8  8
9  5
17  17
16  16
13  13
12  12
3  3
5  5
7  5
5  5
3  3
7  7
3  3
11  11
11  17
8  8
13  13
5  5
3  3
17  17
16  16
1  1
3  3
3  3
2  2
7  5
7  7
5  5
9  5
2  2
12  8
0  8
13  10
9  9
12  12
6  6
8  8
2  2
2  2
2  2
17  17
12  12
5  5
9  9
12  12
6  6
3  3
16  16
11  11
13  13
12  12
12  12
3  1
8  8
4  4
7  7
3  3
9  5
4  4
9  9
1  1
0  0
6  6
2  2
7  7
16  16
10  10
7  0
5  5
16  16
8  8
12  8
17  17
3  3
0  0
9  9
1  1
5  9
11  11
2  2
11  11
2  2
8  8
5  5
14  14
8  8
7  7
13  13
9  9
3  3
14  14
3  3
14  9
3  3
5  5
13  13
11  11
1  1
16  16
13  13
10  13
9  4
17  17
9  9
10  10
2  14
2  2
16  16
5  5
10  10
2  2
10  10
5  9
16  16
3  3
2  13
1  1
15  15
3  3
7  7
2  2
3  3
15  9
13  13
12  8
3  3
8  8
0  0
12  8
3  3
2  11
0  0
9  9
13  13
2  2
8  8
6  6
2  2
12  12
0  8
9  9
7  11
8  8
16  16
7  7
10  10
10  10
7  5
12  12
1  1
8  8
13  13
3  3
3  1
5  5
9  5
10  10
3  3
15  15
2  2
8  8
9  9
13  13
12  12
12  12
10  10
2  13
6  6
7  7
2  2
5  5
12  12
12  12
7  7
13  13
10  10
8  8
9  9
15  5
11  11
0  0
8  8
3  3
6  6
10  10
8  8
5  5
1  1
10  10
9  5
9  9
7  7
3  3
14  14
17  17
0  0
5  5
7  5
13  10
8  8
0  0
12  12
1  1
6  6
3  3
12  12
17  17
7  7
3  1
6  6
10  10
0  0
12  12
2  2
12  12
8  8
12  12
2  2
15  15
16  16
9  4
3  3
7  8
1  1
5  5
10  10
2  2
16  16
14  14
17  17
17  17
15  15
12  8
2  2
2  2
8  8
8  8
12  2
2  2
3  3
16  16
12  12
11  11
3  3
16  13
17  17
2  2
13  13
7  7
7  7
1  1
1  1
12  12
2  2
7  5
9  9
15  15
10  10
2  2
6  6
3  3
9  2
5  17
6  6
2  2
12  8
17  17
3  8
9  9
0  0
17  17
17  11
15  15
3  1
2  2
9  9
6  6
1  1
10  13
3  1
15  15
11  11
8  8
17  17
17  17
10  10
7  7
8  8
3  3
7  7
12  12
6  6
8  8
7  7
10  10
10  10
14  14
9  9
16  16
3  1
5  5
5  4
2  2
10  10
11  11
9  5
2  2
3  3
8  8
16  16
13  13
9  9
13  13
17  17
12  12
11  11
8  8
10  10
8  8
2  2
10  10
15  15
2  2
12  12
9  9
12  8
11  11
16  16
4  4
12  12
2  2
11  11
7  7
6  6
11  11
6  6
17  17
7  7
13  13
16  16
5  4
16  16
7  7
10  10
10  2
7  7
9  9
9  9
0  0
1  1
7  7
2  2
13  13
9  9
15  15
2  2
11  11
17  17
15  14
16  16
12  12
9  9
14  14
12  12
7  7
2  2
10  10
14  14
11  11
2  2
9  9
9  9
11  11
10  10
6  6
8  7
3  1
6  6
8  8
12  12
17  17
2  2
0  0
7  7
15  15
10  10
13  13
10  10
17  17
3  1
14  14
7  7
1  1
9  9
13  10
8  8
12  12
8  8
14  17
9  4
6  6
8  8
7  7
3  3
6  6
9  17
8  8
8  8
13  13
6  6
16  16
7  7
10  10
6  6
15  3
11  11
6  6
7  0
16  16
1  1
3  3
2  13
8  8
2  2
6  6
7  7
6  6
11  11
4  4
17  17
3  3
16  16
0  0
8  8
1  1
11  11
10  10
13  13
12  12
15  15
3  3
0  0
9  9
12  12
14  14
7  7
9  9
15  15
13  13
3  3
5  5
13  13
2  2
3  1
11  11
17  13
10  10
8  8
0  0
9  4
8  8
7  7
0  0
9  9
8  8
6  6
3  3
3  3
6  6
9  9
16  16
10  10
12  8
10  13
13  13
10  10
3  3
10  10
11  11
2  2
7  7
9  9
10  10
2  2
2  14
13  13
7  6
12  1
13  17
3  3
15  14
1  1
5  5
14  14
16  16
16  16
10  10
3  1
6  6
5  5
13  13
0  0
8  8
7  7
7  7
12  12
17  17
10  10
15  15
11  11
14  14
4  4
0  0
2  10
10  13
6  6
8  8
12  12
12  8
6  6
17  17
13  13
14  14
7  9
3  3
11  11
8  8
6  6
2  2
11  11
6  6
15  15
15  14
13  13
16  13
15  1
5  5
13  13
9  9
9  4
9  9
12  8
6  6
5  5
11  11
2  2
16  16
8  8
8  8
7  7
8  8
9  9
0  0
10  10
3  3
7  9
12  12
13  10
5  5
2  2
9  9
3  3
7  0
8  2
9  9
8  8
15  15
15  15
10  10
5  5
3  3
9  4
14  14
7  7
12  8
2  2
9  9
8  8
3  3
7  7
9  9
12  12
5  5
7  7
3  3
8  8
11  11
12  8
10  10
11  11
3  3
10  10
10  17
5  5
10  10
16  16
16  16
9  9
3  1
16  16
11  11
7  7
10  10
10  10
15  15
14  14
17  17
11  13
0  0
3  1
8  8
4  4
3  3
17  17
7  7
9  9
12  12
1  1
7  7
6  6
12  12
8  8
2  16
17  17
11  11
10  10
7  0
2  16
8  8
15  15
14  14
2  2
2  2
10  10
5  5
2  2
16  16
12  12
16  16
10  13
12  12
14  14
13  13
10  10
11  11
8  8
12  8
7  7
2  2
5  5
2  2
9  2
9  8
10  10
13  13
17  17
8  8
4  4
8  8
16  16
6  6
1  1
2  2
14  4
3  3
11  11
15  15
15  15
2  2
8  8
3  3
9  5
17  17
12  12
2  2
10  10
8  3
9  9
5  5
0  0
3  8
0  0
8  8
3  3
6  6
7  7
10  10
14  14
16  16
9  5
12  8
12  8
16  16
6  6
8  8
0  0
8  8
8  8
7  7
8  8
6  6
6  6
11  11
2  2
8  8
14  9
16  16
15  15
4  4
2  2
7  7
12  8
8  8
10  10
10  10
10  10
8  8
2  2
8  8
10  10
15  15
16  16
8  8
2  2
2  2
15  15
2  2
8  8
8  8
9  2
10  10
13  13
12  3
2  2
17  17
6  6
17  17
0  0
5  5
6  6
8  8
11  11
12  1
6  6
8  8
16  16
3  3
8  8
2  2
17  17
5  7
15  15
16  16
15  14
3  3
15  15
3  3
12  8
7  7
10  9
15  14
15  15
1  1
12  8
9  9
3  3
6  6
8  8
14  14
2  2
2  13
9  4
2  2
10  10
13  13
16  16
9  9
1  1
8  9
11  11
3  3
5  5
3  3
7  7
6  6
3  3
9  9
2  2
8  8
6  6
13  13
9  9
8  8
4  4
2  2
17  17
3  1
3  3
6  6
11  11
12  8
2  2
3  1
3  1
9  9
5  4
13  13
2  2
15  15
1  1
3  3
12  12
2  2
7  7
8  8
0  0
5  4
5  5
1  1
13  13
16  16
7  7
15  15
0  0
9  9
8  8
13  17
16  16
9  9
14  14
11  11
12  12
10  10
12  8
6  6
3  3
15  14
4  14
3  3
9  5
9  9
8  8
9  9
3  1
16  16
0  0
6  6
8  0
13  13
9  5
10  10
3  3
2  2
17  17
9  0
12  8
6  6
2  2
13  17
3  1
14  14
15  15
2  2
13  13
7  7
12  12
17  17
15  15
7  7
16  16
12  1
15  15
7  7
2  2
6  6
0  0
2  2
7  7
7  7
3  3
8  6
7  7
7  7
11  11
6  6
17  17
2  2
2  2
15  15
10  10
15  15
11  11
12  12
12  12
15  15
9  9
6  6
8  8
0  0
6  6
9  9
13  13
12  12
0  0
13  11
7  7
9  9
2  9
0  0
8  8
8  8
8  8
7  7
16  16
9  4
0  0
10  10
13  11
11  11
12  8
16  16
3  3
5  4
15  15
17  17
10  10
16  16
8  8
9  9
11  17
13  17
0  0
12  8
13  17
